Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
24.0,95294,135858,621,51,2,5.42,60,0.79,Master's,Part-time,Divorced,Yes,No,Auto,No,1
60.0,31579,247914,431,18,1,3.23,48,0.9,High School,Self-employed,Married,No,No,Auto,No,1
34.0,19501,217308,825,34,4,15.56,48,0.83,High School,Unemployed,Single,No,No,Home,Yes,1
66.0,19738,236735,388,80,3,16.51,12,0.11,Master's,Self-employed,Divorced,No,No,Auto,Yes,1
24.0,132898,72682,325,41,3,8.96,60,0.7,Master's,Unemployed,Single,Yes,No,Other,No,1
18.0,17462,114975,303,42,1,12.36,60,0.31,Bachelor's,Self-employed,Single,Yes,No,Business,No,1
48.0,91093,132231,685,46,3,23.18,12,0.8,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
65.0,121822,164163,373,83,2,11.15,48,0.41,PhD,Part-time,Single,Yes,No,Other,Yes,0
41.0,99756,8291,635,93,3,15.07,36,0.85,High School,Part-time,Married,No,No,Business,No,0
32.0,36383,8434,531,54,2,10.51,60,0.67,Bachelor's,Unemployed,Married,Yes,No,Other,Yes,1
38.0,133185,220308,400,29,1,21.92,48,0.7,High School,Unemployed,Married,No,Yes,Business,No,1
36.0,25521,153596,741,56,4,18.75,12,0.34,PhD,Unemployed,Married,No,Yes,Education,No,1
68.0,49630,158118,758,42,2,6.93,24,0.56,PhD,Unemployed,Married,No,Yes,Business,Yes,0
22.0,84928,137828,423,21,3,20.15,24,0.78,PhD,Part-time,Divorced,No,Yes,Business,Yes,0
67.0,112124,127319,548,68,2,5.4,36,0.37,PhD,Part-time,Single,No,No,Education,Yes,1
27.0,34841,106551,592,68,4,9.82,24,0.55,PhD,Full-time,Single,Yes,Yes,Other,Yes,0
67.0,58441,123623,631,7,3,6.53,12,0.69,Bachelor's,Part-time,Single,Yes,Yes,Home,No,0
39.0,140339,27374,366,43,1,10.0,36,0.51,Master's,Self-employed,Divorced,No,Yes,Other,Yes,1
52.0,16757,165221,608,50,2,7.21,60,0.38,PhD,Full-time,Divorced,No,Yes,Auto,Yes,0
37.0,27019,83031,495,42,4,13.29,24,0.42,Master's,Unemployed,Divorced,Yes,No,Education,Yes,0
59.0,31695,125368,301,82,3,21.11,60,0.53,PhD,Self-employed,Divorced,No,Yes,Home,No,1
20.0,130900,34447,426,52,2,23.06,24,0.13,PhD,Part-time,Single,Yes,No,Auto,No,1
25.0,36397,96155,502,1,4,4.24,36,0.61,PhD,Self-employed,Married,Yes,Yes,Other,No,1
35.0,119903,240314,306,66,3,17.01,48,0.2,PhD,Self-employed,Married,Yes,Yes,Business,No,1
52.0,15558,181907,306,97,2,8.55,12,0.62,PhD,Unemployed,Single,Yes,Yes,Home,No,0
25.0,138374,38704,418,53,1,18.54,36,0.5,Bachelor's,Unemployed,Single,No,Yes,Other,No,0
66.0,104950,47429,417,33,1,19.53,60,0.89,High School,Unemployed,Married,Yes,No,Education,No,0
63.0,31669,202988,462,119,3,20.19,60,0.44,Master's,Part-time,Single,No,No,Other,No,0
55.0,17667,186766,728,67,3,22.69,24,0.34,PhD,Unemployed,Divorced,No,No,Auto,Yes,1
46.0,77036,220146,389,5,3,19.63,12,0.59,High School,Self-employed,Single,Yes,Yes,Other,No,1
32.0,25215,245857,727,113,4,4.95,12,0.15,Bachelor's,Part-time,Married,Yes,Yes,Other,No,1
39.0,63446,123575,630,25,1,14.86,24,0.32,PhD,Full-time,Single,No,No,Other,No,1
51.0,76719,22047,681,33,1,5.87,24,0.56,Bachelor's,Self-employed,Divorced,No,Yes,Education,No,0
19.0,96490,49979,784,10,1,19.58,36,0.46,PhD,Self-employed,Married,Yes,No,Home,No,1
34.0,32411,22312,814,110,4,19.08,12,0.74,Bachelor's,Part-time,Single,Yes,Yes,Education,No,1
20.0,114867,172775,602,102,1,3.67,24,0.44,Bachelor's,Unemployed,Married,No,No,Education,No,0
19.0,80403,77986,656,119,1,6.5,12,0.75,High School,Full-time,Married,No,No,Business,No,0
42.0,119512,89455,708,113,1,17.87,36,0.79,Master's,Part-time,Divorced,Yes,Yes,Business,No,0
18.0,35941,124410,447,75,3,19.72,12,0.22,High School,Self-employed,Single,Yes,Yes,Business,Yes,1
60.0,67778,57464,651,23,1,23.29,60,0.17,PhD,Self-employed,Married,Yes,No,Business,No,0
68.0,17751,152696,811,119,1,17.25,60,0.52,High School,Unemployed,Divorced,No,Yes,Auto,Yes,0
31.0,69384,36462,805,24,4,24.28,36,0.35,Master's,Unemployed,Single,No,No,Business,Yes,1
42.0,47646,185161,775,67,3,16.6,48,0.83,High School,Part-time,Married,Yes,No,Home,Yes,0
21.0,25557,207337,355,57,2,19.81,12,0.19,Bachelor's,Part-time,Single,Yes,No,Business,Yes,1
46.0,79564,213445,799,31,1,13.04,24,0.83,High School,Part-time,Single,No,Yes,Other,Yes,0
69.0,118828,104711,667,111,3,5.72,36,0.9,Master's,Unemployed,Single,No,Yes,Auto,Yes,0
62.0,81503,12607,544,60,4,23.13,36,0.15,Master's,Full-time,Married,No,No,Auto,Yes,0
21.0,123592,92372,712,55,2,21.82,24,0.44,Bachelor's,Full-time,Divorced,No,Yes,Other,Yes,1
67.0,63853,15820,428,92,3,18.46,60,0.72,Bachelor's,Unemployed,Single,No,No,Home,No,0
55.0,142884,140662,842,60,4,9.48,36,0.47,PhD,Unemployed,Single,Yes,Yes,Other,Yes,0
21.0,44458,111631,625,112,3,2.87,24,0.56,Master's,Full-time,Married,No,No,Home,No,0
31.0,145165,33089,382,62,1,3.92,12,0.19,High School,Self-employed,Single,Yes,No,Auto,No,0
54.0,105663,85187,321,113,2,5.78,24,0.89,High School,Self-employed,Married,No,No,Business,Yes,0
64.0,21513,45804,815,37,4,5.39,24,0.18,High School,Self-employed,Married,No,No,Education,Yes,0
24.0,30805,54889,523,44,1,13.15,60,0.44,Master's,Full-time,Single,Yes,Yes,Education,No,0
39.0,21982,19314,714,73,2,22.0,60,0.28,Master's,Self-employed,Married,Yes,No,Education,Yes,1
34.0,132182,219448,601,53,2,15.67,36,0.41,Bachelor's,Part-time,Divorced,Yes,Yes,Auto,Yes,1
36.0,92770,182871,827,6,2,8.88,60,0.43,Bachelor's,Self-employed,Divorced,No,Yes,Other,Yes,1
18.0,122644,68193,759,1,2,22.97,12,0.22,High School,Part-time,Single,Yes,No,Business,Yes,0
54.0,64031,142518,357,20,2,15.8,60,0.11,Bachelor's,Unemployed,Married,Yes,No,Home,No,0
51.0,60942,153228,625,31,3,12.8,24,0.63,Master's,Full-time,Married,No,No,Other,Yes,1
65.0,97223,79389,398,6,3,23.16,60,0.54,PhD,Self-employed,Divorced,Yes,No,Auto,No,0
31.0,122032,167920,499,31,2,12.87,60,0.89,PhD,Part-time,Married,No,Yes,Other,Yes,1
21.0,29208,98288,311,36,3,19.93,60,0.23,High School,Self-employed,Single,No,No,Business,No,1
38.0,33539,46216,303,89,3,24.78,36,0.46,High School,Unemployed,Divorced,Yes,No,Business,No,1
48.0,15964,162106,627,60,3,21.8,60,0.27,Bachelor's,Self-employed,Married,No,Yes,Other,No,1
21.0,57853,214114,413,96,1,4.35,12,0.13,Bachelor's,Full-time,Divorced,Yes,Yes,Auto,Yes,1
56.0,142549,210963,378,76,1,24.58,24,0.66,Bachelor's,Part-time,Single,No,Yes,Auto,Yes,1
40.0,58575,106753,831,6,1,21.96,48,0.66,Master's,Unemployed,Divorced,No,No,Other,No,1
45.0,146619,100566,318,0,2,16.45,24,0.43,Bachelor's,Part-time,Single,Yes,No,Other,No,0
45.0,73034,27681,634,11,2,16.6,60,0.25,Bachelor's,Full-time,Divorced,No,Yes,Business,No,1
51.0,83269,209294,344,13,3,24.11,24,0.22,PhD,Self-employed,Divorced,Yes,No,Business,Yes,0
28.0,60276,213411,356,96,2,5.82,48,0.6,Master's,Self-employed,Divorced,No,No,Education,Yes,0
19.0,23853,117260,371,13,2,5.24,24,0.9,Master's,Part-time,Married,No,Yes,Business,Yes,0
29.0,35005,248206,694,22,4,24.72,12,0.74,Master's,Full-time,Single,Yes,Yes,Business,No,0
27.0,15631,243676,334,85,4,15.79,48,0.26,Bachelor's,Self-employed,Divorced,No,No,Auto,Yes,1
53.0,15224,229574,324,76,4,23.82,60,0.61,Master's,Unemployed,Married,Yes,Yes,Auto,Yes,1
39.0,63659,212897,389,16,4,2.21,60,0.58,High School,Part-time,Married,No,Yes,Education,No,0
26.0,31585,99687,350,84,2,2.47,60,0.69,PhD,Self-employed,Single,Yes,No,Business,No,0
46.0,50073,5167,638,101,1,23.25,60,0.44,Master's,Self-employed,Married,No,Yes,Home,Yes,0
37.0,124730,13256,304,88,3,5.77,12,0.8,High School,Part-time,Married,Yes,Yes,Other,Yes,0
24.0,45724,195997,593,5,1,21.96,36,0.36,High School,Part-time,Divorced,Yes,Yes,Education,No,1
43.0,66931,99624,559,96,1,24.9,60,0.86,High School,Part-time,Divorced,No,No,Home,Yes,1
20.0,64142,51472,349,64,1,6.11,12,0.5,Bachelor's,Full-time,Single,Yes,No,Home,No,1
40.0,101959,194453,735,118,3,18.47,12,0.14,Bachelor's,Self-employed,Married,Yes,No,Business,No,0
45.0,129910,50220,731,68,4,4.71,48,0.35,PhD,Unemployed,Divorced,Yes,No,Education,Yes,1
20.0,28284,139765,342,74,4,22.34,36,0.65,PhD,Part-time,Divorced,No,No,Education,Yes,1
21.0,18984,223978,738,64,4,22.86,48,0.57,Bachelor's,Self-employed,Married,Yes,Yes,Business,Yes,1
20.0,53401,17897,688,17,2,18.91,24,0.3,Bachelor's,Unemployed,Divorced,Yes,Yes,Home,Yes,0
24.0,98965,20343,353,75,4,14.4,36,0.72,High School,Self-employed,Married,Yes,No,Home,Yes,1
37.0,106555,215675,597,31,2,11.58,36,0.29,High School,Unemployed,Married,Yes,Yes,Other,Yes,0
52.0,139503,84564,545,71,3,15.06,36,0.77,PhD,Self-employed,Divorced,Yes,Yes,Auto,No,0
62.0,141845,229148,722,61,4,24.29,24,0.87,Bachelor's,Part-time,Single,No,Yes,Home,Yes,0
68.0,105111,73283,473,95,1,17.73,24,0.41,Master's,Unemployed,Single,Yes,No,Other,No,1
33.0,26226,143380,796,44,1,21.18,60,0.53,Bachelor's,Unemployed,Divorced,Yes,Yes,Other,No,1
20.0,94462,41542,582,7,3,18.74,48,0.56,Bachelor's,Part-time,Single,No,Yes,Business,No,1
23.0,91293,246092,623,61,3,15.72,24,0.64,Bachelor's,Part-time,Divorced,No,Yes,Education,No,1
69.0,102445,173091,316,13,1,13.02,12,0.52,High School,Unemployed,Single,Yes,No,Education,No,1
69.0,30244,221154,714,113,1,6.6,12,0.5,Master's,Part-time,Divorced,Yes,Yes,Auto,No,0
20.0,54289,15647,411,19,3,17.53,48,0.14,PhD,Part-time,Divorced,No,Yes,Other,No,1
36.0,51270,72891,565,89,4,24.37,12,0.1,PhD,Unemployed,Divorced,No,Yes,Education,Yes,1
21.0,138263,52979,383,88,3,16.91,48,0.28,Bachelor's,Full-time,Divorced,No,No,Other,No,1
33.0,57913,107404,443,50,4,12.89,24,0.72,Master's,Part-time,Single,No,Yes,Education,Yes,1
57.0,53515,58862,696,9,4,19.88,12,0.69,PhD,Self-employed,Married,Yes,Yes,Education,No,0
61.0,87219,162098,655,74,2,3.78,12,0.43,Bachelor's,Part-time,Married,No,No,Other,No,0
20.0,123161,92295,519,103,4,18.21,60,0.48,Master's,Self-employed,Married,Yes,No,Business,Yes,0
50.0,145527,137619,485,36,3,4.31,24,0.43,PhD,Full-time,Married,No,No,Home,No,0
36.0,79149,172397,312,59,1,16.13,60,0.47,Bachelor's,Part-time,Single,No,No,Home,No,0
66.0,139477,193435,551,102,3,17.16,24,0.27,PhD,Full-time,Single,Yes,Yes,Education,Yes,0
60.0,143321,32964,628,52,2,23.52,36,0.37,Bachelor's,Part-time,Divorced,Yes,No,Auto,No,1
36.0,27419,160931,447,41,2,19.54,36,0.82,Bachelor's,Unemployed,Divorced,No,Yes,Home,Yes,0
56.0,54227,151677,785,101,1,8.83,48,0.41,PhD,Part-time,Single,No,Yes,Education,No,0
21.0,76943,83126,387,43,1,20.28,48,0.79,High School,Unemployed,Divorced,No,No,Business,Yes,1
55.0,20572,156736,492,38,4,18.4,60,0.75,High School,Unemployed,Single,Yes,No,Home,Yes,1
67.0,137899,238996,815,13,2,5.03,48,0.43,Bachelor's,Self-employed,Married,No,No,Auto,Yes,0
18.0,73840,105166,470,115,2,22.91,48,0.82,Master's,Part-time,Married,No,Yes,Business,No,1
57.0,28901,15413,389,2,4,5.09,48,0.68,Master's,Self-employed,Divorced,Yes,No,Business,Yes,1
23.0,109145,175689,806,4,1,16.68,48,0.88,PhD,Part-time,Divorced,Yes,Yes,Business,No,1
33.0,45334,217796,458,6,1,19.58,48,0.62,Bachelor's,Full-time,Single,No,No,Other,No,0
48.0,102205,188491,361,23,2,16.67,12,0.31,PhD,Part-time,Divorced,No,No,Education,Yes,1
61.0,83911,197434,459,32,3,6.98,60,0.27,Master's,Self-employed,Divorced,Yes,No,Home,Yes,0
45.0,17875,10696,806,43,3,2.23,60,0.21,Master's,Unemployed,Married,Yes,No,Auto,No,0
54.0,101654,29781,575,55,1,13.06,24,0.67,Bachelor's,Unemployed,Single,No,Yes,Business,Yes,1
20.0,148705,223282,718,32,2,19.73,12,0.32,Bachelor's,Part-time,Single,No,Yes,Business,No,1
53.0,31733,131088,536,85,3,7.68,48,0.35,Bachelor's,Part-time,Divorced,Yes,No,Auto,No,1
62.0,34035,108234,705,5,2,3.59,36,0.39,High School,Self-employed,Single,Yes,No,Business,Yes,1
58.0,61268,190575,829,97,2,16.51,24,0.33,Bachelor's,Unemployed,Single,No,No,Home,No,0
46.0,133986,126660,825,76,4,4.41,60,0.14,Master's,Self-employed,Single,No,No,Other,No,0
67.0,106933,246255,727,24,4,3.23,48,0.73,High School,Self-employed,Divorced,Yes,Yes,Home,No,0
28.0,147458,78834,441,7,1,4.15,36,0.26,High School,Unemployed,Divorced,No,Yes,Business,No,0
46.0,108877,36381,463,52,1,15.14,24,0.6,PhD,Self-employed,Divorced,No,Yes,Auto,No,1
66.0,58904,163089,582,64,2,6.6,36,0.39,Master's,Unemployed,Single,Yes,Yes,Business,Yes,0
68.0,119662,216343,357,22,1,24.89,24,0.59,Master's,Full-time,Married,Yes,No,Auto,No,1
34.0,119918,172673,585,64,3,21.46,12,0.62,PhD,Unemployed,Single,Yes,No,Home,No,1
41.0,41558,117565,778,27,3,23.1,36,0.39,High School,Self-employed,Single,No,No,Business,Yes,1
27.0,38254,196239,596,83,3,15.27,48,0.31,Bachelor's,Part-time,Single,No,Yes,Education,No,1
38.0,111490,234120,436,89,2,7.8,24,0.14,Master's,Unemployed,Divorced,No,No,Business,No,1
36.0,24457,241870,725,10,2,15.18,48,0.26,PhD,Full-time,Single,No,Yes,Other,Yes,1
55.0,60906,113395,366,14,4,14.87,36,0.21,Bachelor's,Unemployed,Married,No,Yes,Other,No,1
40.0,25886,127175,499,15,4,19.61,24,0.69,Master's,Unemployed,Married,Yes,Yes,Other,No,0
27.0,109502,172012,672,6,1,18.98,60,0.39,High School,Unemployed,Married,Yes,No,Other,Yes,1
68.0,72633,151093,483,40,3,9.11,36,0.64,High School,Unemployed,Single,Yes,No,Home,Yes,0
55.0,122843,17047,670,79,2,16.17,12,0.34,Master's,Part-time,Divorced,No,No,Auto,Yes,0
21.0,18895,186972,641,91,1,23.88,60,0.37,PhD,Unemployed,Married,No,No,Education,No,1
30.0,18249,134071,781,92,3,6.11,48,0.52,Master's,Unemployed,Married,No,Yes,Education,Yes,0
42.0,58593,134998,555,12,3,17.36,60,0.38,PhD,Full-time,Single,No,No,Business,No,1
49.0,121034,233490,334,68,4,11.26,24,0.3,Master's,Full-time,Divorced,No,Yes,Auto,No,1
27.0,29132,39320,555,81,4,15.76,60,0.12,Master's,Part-time,Single,Yes,No,Education,Yes,1
51.0,111188,149646,833,109,2,23.97,12,0.27,Master's,Self-employed,Divorced,No,No,Business,No,0
26.0,17905,90808,599,55,3,7.71,48,0.62,PhD,Part-time,Single,No,No,Home,Yes,1
46.0,117303,115911,359,49,3,23.38,12,0.8,PhD,Self-employed,Single,No,Yes,Education,No,1
32.0,78759,70180,694,21,3,16.94,24,0.53,PhD,Full-time,Single,Yes,Yes,Other,No,0
34.0,98411,249420,408,102,2,3.24,60,0.77,High School,Part-time,Married,Yes,No,Auto,No,0
33.0,23116,181448,777,29,2,2.49,12,0.66,Master's,Full-time,Divorced,Yes,Yes,Home,No,0
39.0,71333,212910,483,89,4,10.33,36,0.52,High School,Part-time,Divorced,No,Yes,Other,No,1
48.0,77595,11943,802,101,1,9.34,48,0.67,PhD,Self-employed,Single,No,No,Other,No,0
33.0,112770,94618,692,48,4,18.82,36,0.89,Bachelor's,Unemployed,Married,Yes,Yes,Business,Yes,1
66.0,20810,63622,764,0,1,9.84,48,0.52,Bachelor's,Self-employed,Single,No,Yes,Business,Yes,1
66.0,129558,66890,409,0,3,7.02,36,0.16,High School,Unemployed,Single,No,Yes,Home,No,0
53.0,94782,190692,472,16,2,7.87,60,0.51,Master's,Full-time,Married,Yes,Yes,Auto,No,0
42.0,125708,180693,798,5,1,11.43,60,0.35,High School,Full-time,Married,Yes,No,Business,No,0
68.0,83904,75114,305,48,3,22.29,12,0.34,PhD,Self-employed,Married,No,No,Home,Yes,1
29.0,130734,220654,783,1,2,2.44,24,0.28,Bachelor's,Unemployed,Divorced,Yes,No,Home,No,0
24.0,54859,234306,762,39,2,22.47,60,0.89,High School,Unemployed,Divorced,Yes,Yes,Education,Yes,1
35.0,137131,102739,514,91,1,9.21,60,0.24,Master's,Self-employed,Divorced,No,No,Business,Yes,0
19.0,101197,131896,347,55,3,19.41,36,0.77,Bachelor's,Self-employed,Divorced,No,No,Auto,No,1
34.0,16767,142608,464,106,2,8.79,36,0.86,High School,Part-time,Single,Yes,No,Auto,No,1
26.0,93581,89435,746,112,1,16.93,36,0.57,PhD,Full-time,Single,No,Yes,Other,Yes,1
44.0,77015,116722,411,62,4,11.99,48,0.58,High School,Part-time,Single,Yes,No,Other,Yes,0
31.0,70190,171208,642,22,3,10.32,36,0.59,PhD,Self-employed,Divorced,No,Yes,Business,Yes,1
33.0,145470,181811,758,107,3,22.52,36,0.51,Master's,Unemployed,Divorced,Yes,Yes,Education,No,1
67.0,109875,107927,431,81,2,13.7,12,0.56,Bachelor's,Self-employed,Single,Yes,Yes,Business,Yes,0
22.0,118702,113352,385,83,4,14.81,12,0.78,Master's,Unemployed,Single,Yes,No,Business,Yes,1
60.0,70327,57066,439,22,1,11.62,24,0.31,Master's,Self-employed,Single,No,No,Home,Yes,0
37.0,46917,231533,491,28,4,20.24,60,0.77,Master's,Unemployed,Single,Yes,Yes,Other,Yes,0
23.0,98506,182756,372,51,1,13.4,12,0.62,PhD,Self-employed,Divorced,Yes,No,Business,Yes,0
30.0,64461,190614,585,55,2,21.19,12,0.67,PhD,Part-time,Single,No,No,Education,Yes,0
40.0,21189,248975,842,8,3,11.2,60,0.28,PhD,Unemployed,Married,No,No,Home,Yes,1
58.0,61609,14452,840,24,4,5.13,24,0.17,PhD,Self-employed,Married,No,No,Home,No,0
63.0,23196,6222,824,29,1,23.9,12,0.85,Master's,Unemployed,Married,Yes,Yes,Other,No,0
43.0,147312,108796,464,35,4,23.61,60,0.14,High School,Unemployed,Divorced,No,Yes,Home,No,1
43.0,51951,180501,341,10,1,22.93,12,0.45,Master's,Self-employed,Divorced,No,No,Business,No,1
48.0,52036,133235,453,51,2,15.59,60,0.77,Master's,Self-employed,Single,No,No,Business,No,0
20.0,141674,113301,730,81,2,14.83,24,0.44,Master's,Unemployed,Divorced,No,No,Education,No,1
66.0,41556,233508,414,23,3,4.2,60,0.66,High School,Self-employed,Divorced,No,Yes,Business,No,1
61.0,24722,123790,469,49,1,10.33,24,0.67,PhD,Unemployed,Single,No,Yes,Home,Yes,1
59.0,97555,218358,361,20,1,2.52,60,0.11,PhD,Unemployed,Divorced,No,No,Education,No,1
50.0,53387,174556,325,7,3,23.29,12,0.4,Master's,Part-time,Married,No,Yes,Home,No,1
45.0,38173,229810,674,26,4,14.57,24,0.41,Bachelor's,Part-time,Single,No,No,Education,No,1
25.0,65028,178332,665,102,3,9.06,48,0.59,Master's,Self-employed,Married,Yes,No,Home,Yes,0
33.0,66861,57888,302,95,4,24.31,36,0.44,PhD,Unemployed,Divorced,Yes,Yes,Home,No,0
56.0,70336,162154,504,32,1,6.03,24,0.12,Bachelor's,Full-time,Married,Yes,No,Business,Yes,0
69.0,97458,118634,317,82,4,7.33,24,0.19,Bachelor's,Self-employed,Single,Yes,No,Business,No,0
32.0,43966,216338,442,67,1,24.72,48,0.34,Master's,Unemployed,Divorced,Yes,No,Other,No,1
21.0,83104,203064,559,86,2,20.57,36,0.13,Bachelor's,Full-time,Married,Yes,No,Education,Yes,1
61.0,54585,38434,478,37,3,15.15,60,0.26,Bachelor's,Full-time,Single,No,Yes,Other,No,0
20.0,142407,173101,706,118,1,22.58,48,0.59,PhD,Self-employed,Single,No,No,Education,Yes,0
34.0,86982,202749,836,18,3,7.27,24,0.88,PhD,Self-employed,Single,No,No,Other,No,1
33.0,50628,29744,720,105,1,8.07,60,0.4,Master's,Self-employed,Single,Yes,Yes,Home,No,1
38.0,114774,175780,717,119,2,6.91,60,0.23,Master's,Full-time,Married,No,Yes,Auto,Yes,0
53.0,102050,147284,487,92,1,18.99,48,0.16,Master's,Full-time,Single,No,No,Education,No,0
43.0,52405,113338,827,77,2,23.91,24,0.51,High School,Part-time,Married,Yes,No,Business,Yes,0
54.0,72802,96605,366,35,1,23.77,48,0.56,Master's,Self-employed,Divorced,Yes,No,Other,No,1
41.0,32982,118349,799,102,4,5.9,24,0.25,Bachelor's,Unemployed,Married,Yes,Yes,Education,No,0
30.0,63777,232446,368,9,3,16.02,48,0.5,PhD,Part-time,Divorced,No,No,Auto,No,1
36.0,110938,129482,497,30,4,6.53,24,0.89,High School,Self-employed,Single,No,Yes,Auto,Yes,0
27.0,33450,70809,607,23,2,24.99,24,0.63,Master's,Unemployed,Divorced,No,Yes,Home,Yes,1
61.0,123034,175474,722,61,4,21.6,60,0.71,PhD,Part-time,Single,Yes,Yes,Education,Yes,0
58.0,79439,95906,418,17,2,21.67,36,0.22,Bachelor's,Part-time,Single,No,No,Education,Yes,1
22.0,38288,128096,704,107,4,9.16,24,0.51,Master's,Part-time,Married,No,Yes,Other,No,0
19.0,142887,213076,498,57,1,20.98,24,0.11,Master's,Unemployed,Married,No,No,Business,No,1
58.0,91245,93471,564,33,2,10.55,24,0.43,High School,Unemployed,Married,No,Yes,Home,No,1
65.0,60431,57146,347,33,4,24.8,36,0.1,Bachelor's,Unemployed,Single,Yes,Yes,Home,No,0
67.0,67534,30725,509,106,2,17.06,24,0.16,High School,Self-employed,Single,No,Yes,Other,Yes,0
62.0,36058,221711,300,71,3,21.05,48,0.82,High School,Unemployed,Married,Yes,No,Auto,Yes,1
25.0,25863,68724,541,100,1,7.0,36,0.17,High School,Unemployed,Divorced,Yes,No,Other,Yes,0
25.0,31349,179489,352,96,4,18.96,12,0.56,High School,Self-employed,Single,Yes,Yes,Home,No,0
31.0,97947,180703,458,16,2,24.39,12,0.66,Bachelor's,Part-time,Divorced,No,No,Business,Yes,1
19.0,52488,96581,652,14,3,21.32,12,0.53,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,1
45.0,142595,95471,510,91,4,9.63,36,0.37,Master's,Part-time,Divorced,No,Yes,Business,Yes,0
25.0,92726,214092,846,104,3,5.63,12,0.75,High School,Self-employed,Single,No,No,Other,Yes,1
52.0,60197,63239,322,16,3,14.05,60,0.43,PhD,Full-time,Divorced,No,Yes,Other,No,0
41.0,53972,247472,766,51,1,5.45,12,0.42,Master's,Self-employed,Divorced,No,Yes,Home,Yes,0
29.0,62413,120399,756,4,4,19.17,36,0.87,Bachelor's,Unemployed,Divorced,No,Yes,Auto,No,1
50.0,132963,165333,588,67,1,6.13,12,0.56,Master's,Unemployed,Single,No,Yes,Business,No,0
18.0,107281,33545,787,46,3,14.62,12,0.5,Master's,Unemployed,Divorced,No,Yes,Education,No,1
27.0,141383,140794,520,63,3,19.15,60,0.32,Master's,Unemployed,Married,Yes,Yes,Other,No,0
20.0,26776,236812,336,51,4,22.86,36,0.76,Bachelor's,Part-time,Single,No,Yes,Home,No,1
32.0,136509,47010,307,36,4,21.8,12,0.77,High School,Unemployed,Married,Yes,No,Home,No,1
35.0,93597,121352,623,52,2,7.57,48,0.39,Bachelor's,Unemployed,Married,No,No,Other,Yes,0
68.0,106581,209386,420,115,1,11.67,24,0.48,Bachelor's,Self-employed,Divorced,Yes,No,Other,Yes,0
26.0,25901,221179,620,41,1,5.54,24,0.19,Master's,Full-time,Divorced,Yes,No,Business,No,1
67.0,29957,168635,763,4,1,2.95,36,0.26,PhD,Part-time,Divorced,Yes,No,Auto,Yes,1
64.0,81654,74257,358,99,2,23.26,36,0.2,High School,Full-time,Married,Yes,Yes,Business,No,0
21.0,138680,101688,500,5,2,9.44,12,0.36,PhD,Unemployed,Married,No,No,Other,Yes,1
25.0,102646,170568,512,45,1,17.37,60,0.59,Bachelor's,Unemployed,Divorced,Yes,Yes,Auto,No,1
57.0,124829,201973,430,95,2,2.42,36,0.23,High School,Self-employed,Single,No,No,Home,No,0
37.0,69395,230345,717,67,4,19.96,24,0.48,Bachelor's,Full-time,Married,Yes,No,Other,Yes,1
45.0,45083,89542,755,35,2,22.11,24,0.54,High School,Self-employed,Divorced,Yes,No,Auto,No,0
30.0,23942,69578,616,49,3,12.59,24,0.23,PhD,Self-employed,Divorced,No,Yes,Business,No,0
53.0,145841,160091,739,109,2,18.92,60,0.18,High School,Part-time,Divorced,Yes,Yes,Education,No,0
63.0,112419,52844,420,78,3,9.98,48,0.27,High School,Unemployed,Married,No,No,Home,No,0
55.0,144408,22526,738,71,1,17.74,36,0.88,Bachelor's,Part-time,Divorced,No,No,Other,Yes,0
26.0,116538,91806,303,30,2,17.91,60,0.21,Bachelor's,Self-employed,Married,No,No,Home,No,1
39.0,61432,192546,631,6,3,19.26,48,0.46,PhD,Unemployed,Single,No,Yes,Home,Yes,0
37.0,56378,172162,373,46,4,19.8,24,0.42,Bachelor's,Self-employed,Married,No,No,Other,No,0
42.0,117106,188322,802,27,3,2.62,24,0.53,Bachelor's,Self-employed,Divorced,Yes,Yes,Other,No,0
28.0,94462,13472,462,64,4,10.84,12,0.3,PhD,Part-time,Single,No,Yes,Auto,Yes,1
30.0,76858,53001,316,88,2,18.48,24,0.41,Master's,Self-employed,Divorced,No,No,Business,Yes,1
41.0,35356,82352,473,23,1,19.81,36,0.52,Master's,Self-employed,Divorced,Yes,No,Other,No,1
30.0,56808,94284,322,69,4,2.6,60,0.72,Master's,Full-time,Married,No,Yes,Other,No,0
22.0,108341,112817,328,19,2,14.8,60,0.65,PhD,Unemployed,Single,Yes,Yes,Education,Yes,1
67.0,126049,164698,578,88,2,16.34,48,0.59,Master's,Self-employed,Divorced,No,No,Business,No,0
30.0,68644,194598,693,28,3,12.82,12,0.18,Bachelor's,Full-time,Married,No,No,Auto,Yes,0
53.0,131859,115489,654,48,1,8.52,24,0.54,High School,Full-time,Married,No,No,Other,Yes,0
51.0,117125,59555,332,44,3,21.29,36,0.82,Bachelor's,Part-time,Married,No,Yes,Business,No,1
24.0,55626,43375,635,41,4,24.42,12,0.74,Master's,Full-time,Single,Yes,Yes,Auto,Yes,0
56.0,66918,55780,338,11,1,23.95,60,0.15,High School,Full-time,Single,Yes,No,Education,No,0
